ماده,متطلب
MATH115,
MATH116,MATH115
MATH.326,
PHYS116,
STAT126,
COE223,
COE351,CS222
COE352,CS222
CS211,CS181
CS213,CS182
CS214,MATH212
CS221,COE223
CS222,CS182
CS224,CS213
CS315,CS211
CS341,CS182
CS342,CS182
CS348,MATH329
CS361,
CS383,CS222
CS423,CS224
CS432,MATH329
CS435,
CS451,CS315
CS452,
CS471,CS342
CS492,
CS497,
CS498,120 ساعه
CS499,CS498
IT351,
MATH212,MATH116
MATH314,MATH212
MATH317,MATH116
MATH329,سMATH116
COE211,
COE212,
COE213,
COE214,
COE224,
COE231,
COE325,
COE326,
COE332,
COE333,
COE361,
COE362,
COE415,
COE428,
COE432,
COE434,
COE435,
COE441,
COE442,
COE455,
COE457,
COE463,
COE492,
COE493,
COE497,
COE498,
COE499,
IT362,
MATH218,
IT214,
IT215,
IT221,
IT251,
IT271,
IT315,
IT332,
IT342,
IT352,
IT361,
IT372,
IT424,
IT435,
IT442,
IT443,
IT462,
IT463,
IT473,
IT474,
IT491,
IT492,
IT497,
IT498,
IT499,
COE121,
COE122,
CS181,
CS182,CS181
IT131,
IC101,
IC102,IC101
IC103,IC101
IC104,
ARAB101,
ARAB103,
